permno,SICCD,NCUSIP,TICKER,COMNAM
10195,4810,12650420,CTEXB,C TEC CORP
10196,4910,,,AMERICAN & FGN PWR INC
10197,3573,00105210,,A F C O A
10198,,,,
10199,,,,
10200,,,,
10201,4931,04878Q86,AT,ATLANTIC POWER CORP
10202,,,,
10203,,,,
10204,,,,
10205,,,,
10206,,,,
10207,,,,
10208,,,,
10209,2870,,,AMERICAN AGRIC CHEM CO
10210,,,,
10211,6710,95790710,WCRP,WESTCORP
10212,,,,
10213,,,,
10214,,,,
10215,3650,91288R10,VVCO,UNITED STATES VIDEO VENDING CORP
10216,,,,
10217,2750,,,AMERICAN BANK NOTE CO
10218,3693,05303010,AFPC,AUTOMATIC FILM PROCESS
10219,,,,
10220,3569,05615F10,BWC,BABCOCK & WILCOX CO NEW
10221,,,,
10222,,,,
10223,7371,13322V10,CIS,CAMELOT INFORMATION SYSTEMS INC
10224,,,,
10225,2110,,,AMERICAN TOB CO
10226,2514,00108010,,A G C INDUSTRIES INC
10227,,,,
10228,,,,
10229,,,,
10230,,,,
10231,6710,20363010,CBNH,COMMUNITY BANKSHARES INC NH
10232,,,,
10233,4830,,,AMERICAN BROADCASTING PARAMOUNT
10234,3469,00122010,AGMI,A G M INDUSTRIES INC
10235,,,,
10236,,,,
10237,,,,
10238,,,,
10239,,,,
10240,,,,
10241,3410,,,AMERICAN CAN CO
10242,6710,89323C10,TRFI,TRANS FINANCIAL BANCORP INC
10243,,,,
10244,,,,
10245,,,,
10246,,,,
10247,,,,
10248,,,,
10249,,,,
10250,,,,
10251,,,,
10252,,,,
10253,,,,
10254,,,,
10255,,,,
10256,,,,
10257,8930,25387610,DGSI,DIGITAL SOLUTIONS INC
10258,,,,
10259,,,,
10260,,,,
10261,,,,
10262,,,,
10263,,,,
10264,,,,
10265,,,,
10266,,,,
10267,,,,
10268,5980,,,AMERICAN ICE CO
10269,,,,
10270,,,,
10271,,,,
10272,,,,
10273,,,,
10274,,,,
10275,,,,
10276,2060,,,AMERICAN CRYSTAL SUGAR CO
10277,8051,00136010,AIDCA,A I D INC DE
10278,2830,42550310,HENG,HENLEY GROUP INC
10279,,,,
10280,,,,
10281,,,,
10282,,,,
10283,,,,
10285,1731,00142310,AIMT,A I M TELEPHONES INC
10286,,,,
10287,,,,
10288,,,,
10289,,,,
10290,,,,
10291,,,,
10292,2070,,,AMERICAN CHICLE CO
10293,,,,
10294,,,,
10295,,,,
10296,,,,
10297,,,,
10298,,,,
10299,,,,
10300,,,,
10301,,,,
10302,,,,
10303,,,,
10304,,,,
10306,7011,00144410,AITS,A I T S INC
10307,,,,
10308,,,,
10309,,,,
10310,,,,
10311,,,,
10312,,,,
10313,6720,,,AMERICAN INTERNATIONAL CORP
10314,1731,00165010,AMTV,AM CABLE TV INDS INC
10315,7900,64121810,NVID,NETWORK VIDEO INC
10316,,,,
10317,,,,
10318,,,,
10319,,,,
10320,,,,
10321,3710,,,AMERICAN MOTORS CORP
10322,,,,
10323,,,,
10324,,,,
10325,,,,
10326,,,,
10327,,,,
10328,,,,
10329,,,,
10330,,,,
10331,,,,
10332,,,,
10333,,,,
10334,,,,
10335,,,,
10336,,,,
10337,,,,
10338,,,,
10339,6020,03157910,AMTY,AMITY BANK CT
10340,,,,
10341,,,,
10341,6030,00350P10,ABBK,ABINGTON BANCORP INC NEW
10342,,,,
10343,,,,
10344,,,,
10345,,,,
10346,,,,
10347,,,,
10349,Z,02603310,AFID,AMERICAN FID LIFE INS CO
10350,,,,
10351,,,,
10352,2840,56763410,MRTA,MARIETTA CORP
10353,,,,
10354,,,,
10355,,,,
10357,Z,00171510,AMIN,A M I INDUSTRIES INC CO
10358,,,,
10359,,,,
10360,,,,
10361,,,,
10362,,,,
10363,,,,
10364,3350,,,AMERICAN SMLT & REFNG CO
10365,3824,00171910,AMIS,A M I SYSTEMS INC
10366,,,,
10367,,,,
10368,6030,87669410,TSBK,TAUNTON SAVINGS BANK MA
10369,,,,
10370,,,,
10371,,,,
10372,3430,,,AMERICAN RADIATOR & STD SAN CORP
10373,,,,
10374,,,,
10375,,,,
10376,,,,
10377,,,,
10378,,,,
10379,3840,45991110,IGEI,INTERNATIONAL GENETIC ENGR INC
10381,8911,00181210,NFCO,A N E F C O INC
10382,,,,
10383,,,,
10384,,,,
10385,,,,
10386,,,,
10387,,,,
10388,,,,
10389,,,,
10390,,,,
10391,,,,
10392,,,,
10393,,,,
10394,,,,
10395,6330,63890410,NAVG,NAVIGATORS GROUP INC
10396,,,,
10397,,,,
10398,,,,
10400,5081,00185510,APFE,A P F ELECTRONICS INC
10401,4810,,,AMERICAN TELEPHONE & TELEG CO
10402,Z,04132410,ARLN,ARLEN PROPERTY INVS SBI
10403,,,,
10404,,,,
10405,3840,46590210,IVMI,IVY MEDICAL INC
10406,,,,
